,E
0,1.5543122344752192e-15
1,7.389922007661198e-16
2,1.1102230246251565e-15
3,2.456368441983159e-15
4,3.3306690738754696e-16
5,3.982925100842749e-15
6,4.822531263215524e-15
7,1.304512053934559e-15
8,3.622102617839573e-15
9,3.733124920302089e-15
10,1.0966921815125374e-14
11,8.48626724447854e-15
12,5.762751387194953e-15
13,6.661338147750939e-16
14,2.3401419690927128e-15
15,8.28503932126523e-15
16,4.808653475407709e-15
17,5.564992910933597e-15
18,5.788772239334605e-15
19,5.773159728050814e-15
20,8.298917109073045e-15
21,1.4876988529977098e-14
22,5.7055055124877185e-15
23,1.1102230246251565e-15
24,2.923442737889914e-15
25,1.4779844015322396e-14
26,2.209604027525458e-15
27,2.583350200424661e-14
28,9.558326352632207e-16
29,1.0831613383999183e-14
30,1.3392498915409945e-14
31,1.609823385706477e-15
32,1.635323820803336e-14
33,1.4099832412739488e-14
34,1.3723397418452521e-14
35,1.662558979376172e-14
36,9.805741288393399e-15
37,2.3869795029440866e-15
38,6.046161835082664e-15
39,1.2295719997723609e-14
40,9.58955137519979e-15
41,1.609823385706477e-15
42,6.930870807830836e-15
43,3.3029134982598407e-15
44,2.8681484270931534e-15
45,3.4486302702418925e-15
46,2.430022329191761e-15
47,2.0636270470220097e-14
48,1.2995464079845753e-14
49,2.455674552592768e-14
50,5.42415504872773e-15
51,1.2094492074510299e-14
52,1.3487475025719675e-16
53,5.0862092315639984e-15
54,2.2943669533703748e-14
55,1.0824674490095276e-15
56,4.1007778769919234e-15
57,4.73232564246473e-15
58,4.701967981635136e-15
59,0.0
60,4.2266537492174905e-15
61,6.661338147750939e-16
62,5.741934705483231e-16
63,1.0574874309554616e-14
64,5.56325818745762e-15
65,4.579669976578771e-15
66,1.2504483126035693e-14
67,6.036837696399289e-16
68,1.7846347229871773e-14
69,2.5174307083375425e-14
70,1.724678342848729e-14
71,9.794248745365053e-15
72,2.399881508796664e-14
73,8.382183835919932e-15
74,2.2240239164195152e-15
75,4.5727310826748635e-14
76,4.5548634308723024e-14
77,1.940114735532461e-14
78,5.2979159687743804e-14
79,4.490852134608758e-14
80,1.5611301632106835
