,E
0,0.0002165050081313069
1,5.572180054640163e-06
2,0.00021577290366914248
3,3.617244553784371e-06
4,0.0002148602594722604
5,8.495133695801682e-07
6,0.00021698633490633418
7,1.4914473751743984e-06
8,0.00022590332666923285
9,2.9614158715482453e-06
10,0.0002448006495397552
11,3.7542233930730473e-06
12,0.0002763241496311769
13,3.920167195300278e-06
14,0.0003237649627499551
15,3.0455862634476416e-06
16,0.0003932334901559295
17,7.837365862267687e-07
18,0.0004973962965584399
19,2.435725365901309e-06
20,0.0006614015370986492
21,5.370996861930877e-06
22,0.000926086361096758
23,6.712799389151092e-06
24,0.0013280364357874893
25,6.005040505269177e-06
26,0.0018239762557168593
27,3.963315302942666e-06
28,0.002160819344581087
29,1.486633541679383e-06
30,0.0017885902658719625
31,2.0114073475546723e-06
32,4.4102640650340794e-05
33,7.543621753151181e-06
34,0.0032027842151464894
35,1.248455216404376e-05
36,0.006910466933603227
37,1.2079292749891946e-05
38,0.009263880795702773
39,7.531768366486613e-06
40,0.008937120091347294
41,4.555746688617024e-06
42,0.005821854716262365
43,2.539045237032189e-06
44,0.0010208241653109236
45,3.0395132958049853e-06
46,0.0034458268058749062
47,9.120262593378947e-06
48,0.005736610867619689
49,8.933608326312098e-06
50,0.005529485186765866
51,3.222605319055938e-06
52,0.003921304083480931
53,1.9057351823316415e-06
54,0.0021769450398589525
55,3.238221546353337e-06
56,0.0009388876356478184
57,1.5499265949570074e-06
58,0.00027039569892994917
59,1.2889498439694336e-06
60,1.5034519620252783e-05
61,3.6519507135013285e-06
62,0.00010130629424261704
63,4.509255448065241e-06
64,8.126380409718796e-05
65,3.8049939894285734e-06
66,2.1390582029685065e-05
67,2.3339577864545102e-06
68,0.00020349545464649947
69,9.530289865403163e-07
70,0.000446067081231929
71,1.1874472487932719e-07
72,0.0006982037920408204
73,1.1649943377680522e-06
74,0.0008826093568841431
75,2.2112671392154892e-06
76,0.0009203780526594336
77,2.638510945535133e-06
78,0.0007651260807792152
79,1.765846025006488e-06
80,1.5607002333737081
