,E
0,6.661338147750939e-16
1,7.771561172376096e-16
2,2.220446049250313e-15
3,5.551115123125783e-15
4,3.2751579226442118e-15
5,4.884981308350689e-15
6,1.8388068845354155e-15
7,4.9960036108132044e-15
8,2.248201624865942e-15
9,1.124100812432971e-15
10,8.708311849403572e-16
11,2.6367796834847468e-15
12,3.0270924655795284e-15
13,1.3877787807814457e-16
14,5.504277589274409e-15
15,7.494005416219807e-16
16,1.7486012637846216e-15
17,1.4432899320127035e-15
18,5.289171878253285e-15
19,1.304512053934559e-14
20,1.5338519033217612
